time      	proc1              	proc2              	proc3              	proc4              	proc5              	proc6              	proc7              	proc8              	proc9              	proc10             	proc11             	proc12             	proc13             	proc14             	proc15             	proc16             	proc17             	proc18             	proc19             	proc20             
1         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
2         	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
3         	RUN [F0]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
4         	RUN [F0]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
5         	RUN [F0]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
6         	READY [F0]        	RUN [F1]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
7         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
8         	READY [F0]        	RUN [F1]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
9         	RUN [F0]          	READY [F1]        	READY []          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
10        	RUN [F0]          	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
11        	RUN [F0]          	READY [F1]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
12        	READY [F0]        	READY [F1]        	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
13        	READY [F0]        	READY [F1]        	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
14        	READY [F0]        	READY [F1]        	RUN [F2]          	NEW               	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
15        	READY [F0]        	RUN [F1]          	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
16        	READY [F0]        	RUN [F1,F3]       	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
17        	READY [F0]        	RUN [F1,F3]       	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
18        	RUN [F0]          	READY [F1,F3]     	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
19        	RUN [F0]          	READY [F1,F3]     	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
20        	RUN [F0]          	READY [F1,F3]     	READY [F2]        	READY []          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
21        	READY [F0]        	READY [F1,F3]     	READY [F2]        	RUN [F4]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
22        	READY [F0]        	READY [F1,F3]     	READY [F2]        	RUN [F4]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
23        	READY [F0]        	READY [F1,F3]     	READY [F2]        	SIGSEGV [F4]      	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
24        	READY [F0]        	READY [F1,F3]     	RUN [F2]          	EXIT [F4]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
25        	READY [F0]        	READY [F1,F3]     	RUN [F2]          	EXIT [F4]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
26        	READY [F0]        	READY [F1,F3]     	RUN [F2]          	EXIT [F4]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
27        	READY [F0]        	RUN [F1,F3]       	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
28        	READY [F0]        	RUN [F1,F3]       	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
29        	READY [F0]        	RUN [F1,F3]       	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
30        	RUN [F0]          	READY [F1,F3]     	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
31        	RUN [F0]          	READY [F1,F3]     	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
32        	EXIT [F0]         	READY [F1,F3]     	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
33        	EXIT [F0]         	READY [F1,F3]     	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
34        	EXIT [F0]         	READY [F1,F3]     	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
35        	                  	RUN [F1,F3]       	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
36        	                  	RUN [F1,F3]       	READY [F2]        	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
37        	                  	EXIT [F1,F3]      	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
38        	                  	EXIT [F1,F3]      	RUN [F2]          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
39        	                  	EXIT [F1,F3]      	EXIT [F2]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
40        	                  	                  	EXIT [F2]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
41        	                  	                  	EXIT [F2]         	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  
